Variable;Valor
x_tvp[1,10,25];-0.0
x_tvp[1,10,26];-0.0
x_tvp[1,10,27];-0.0
x_tvp[1,10,28];-0.0
x_tvp[1,10,29];-0.0
x_tvp[1,10,30];-0.0
x_tvp[1,10,31];-0.0
x_tvp[1,10,32];0.0
x_tvp[1,10,33];0.0
x_tvp[1,10,34];0.0
x_tvp[1,10,35];-0.0
x_tvp[1,10,36];0.0
x_tvp[1,10,37];-0.0
x_tvp[1,10,38];-0.0
x_tvp[1,10,39];0.0
x_tvp[1,10,40];0.0
x_tvp[1,11,1];-0.0
x_tvp[1,11,2];-0.0
x_tvp[1,11,3];-0.0
x_tvp[1,11,4];-0.0
x_tvp[1,11,5];-0.0
x_tvp[1,11,6];-0.0
x_tvp[1,11,7];-0.0
x_tvp[1,11,8];-0.0
x_tvp[1,11,9];-0.0
x_tvp[1,11,10];1.0
x_tvp[1,11,11];-0.0
x_tvp[1,11,12];-0.0
x_tvp[1,11,13];-0.0
x_tvp[1,11,14];-0.0
x_tvp[1,11,15];4.0
x_tvp[1,11,16];-0.0
x_tvp[1,11,17];-0.0
x_tvp[1,11,18];-0.0
x_tvp[1,11,19];-0.0
x_tvp[1,11,20];-0.0
x_tvp[1,11,21];-0.0
x_tvp[1,11,22];-0.0
x_tvp[1,11,23];-0.0
x_tvp[1,11,24];0.0
x_tvp[1,11,25];-0.0
x_tvp[1,11,26];-0.0
x_tvp[1,11,27];-0.0
x_tvp[1,11,28];-0.0
x_tvp[1,11,29];-0.0
x_tvp[1,11,30];-0.0
x_tvp[1,11,31];-0.0
x_tvp[1,11,32];-0.0
x_tvp[1,11,33];0.0
x_tvp[1,11,34];0.0
x_tvp[1,11,35];-0.0
x_tvp[1,11,36];0.0
x_tvp[1,11,37];-0.0
x_tvp[1,11,38];-0.0
x_tvp[1,11,39];0.0
x_tvp[1,11,40];-0.0
x_tvp[1,12,1];-0.0
x_tvp[1,12,2];-0.0
x_tvp[1,12,3];-0.0
x_tvp[1,12,4];-0.0
x_tvp[1,12,5];-0.0
x_tvp[1,12,6];-0.0
x_tvp[1,12,7];-0.0
x_tvp[1,12,8];-0.0
x_tvp[1,12,9];0.0
x_tvp[1,12,10];-0.0
x_tvp[1,12,11];-0.0
x_tvp[1,12,12];0.0
x_tvp[1,12,13];-0.0
x_tvp[1,12,14];-0.0
x_tvp[1,12,15];4.0
x_tvp[1,12,16];-0.0
x_tvp[1,12,17];-0.0
x_tvp[1,12,18];-0.0
x_tvp[1,12,19];-0.0
x_tvp[1,12,20];-0.0
x_tvp[1,12,21];-0.0
x_tvp[1,12,22];-0.0
x_tvp[1,12,23];1.0
x_tvp[1,12,24];-0.0
x_tvp[1,12,25];-0.0
x_tvp[1,12,26];-0.0
x_tvp[1,12,27];-0.0
x_tvp[1,12,28];-0.0
x_tvp[1,12,29];-0.0
x_tvp[1,12,30];-0.0
x_tvp[1,12,31];-0.0
x_tvp[1,12,32];0.0
x_tvp[1,12,33];0.0
x_tvp[1,12,34];-0.0
x_tvp[1,12,35];-0.0
x_tvp[1,12,36];-0.0
x_tvp[1,12,37];-0.0
x_tvp[1,12,38];-0.0
x_tvp[1,12,39];0.0
x_tvp[1,12,40];-0.0
x_tvp[1,13,1];-0.0
x_tvp[1,13,2];-0.0
x_tvp[1,13,3];-0.0
x_tvp[1,13,4];-0.0
x_tvp[1,13,5];-0.0
x_tvp[1,13,6];-0.0
x_tvp[1,13,7];-0.0
x_tvp[1,13,8];-0.0
x_tvp[1,13,9];1.0
x_tvp[1,13,10];-0.0
x_tvp[1,13,11];-0.0
x_tvp[1,13,12];-0.0
x_tvp[1,13,13];-0.0
x_tvp[1,13,14];-0.0
x_tvp[1,13,15];4.0
x_tvp[1,13,16];-0.0
x_tvp[1,13,17];-0.0
x_tvp[1,13,18];-0.0
x_tvp[1,13,19];-0.0
x_tvp[1,13,20];-0.0
x_tvp[1,13,21];-0.0
x_tvp[1,13,22];-0.0
x_tvp[1,13,23];-0.0
x_tvp[1,13,24];-0.0
x_tvp[1,13,25];-0.0
x_tvp[1,13,26];-0.0
x_tvp[1,13,27];-0.0
x_tvp[1,13,28];-0.0
x_tvp[1,13,29];-0.0
x_tvp[1,13,30];-0.0
x_tvp[1,13,31];-0.0
x_tvp[1,13,32];-0.0
x_tvp[1,13,33];-0.0
x_tvp[1,13,34];-0.0
x_tvp[1,13,35];-0.0
x_tvp[1,13,36];-0.0
x_tvp[1,13,37];-0.0
x_tvp[1,13,38];-0.0
x_tvp[1,13,39];-0.0
x_tvp[1,13,40];-0.0
x_tvp[1,14,1];0.0
x_tvp[1,14,2];0.0
x_tvp[1,14,3];0.0
x_tvp[1,14,4];0.0
x_tvp[1,14,5];0.0
x_tvp[1,14,6];0.0
x_tvp[1,14,7];0.0
x_tvp[1,14,8];1.0
x_tvp[1,14,9];0.0
x_tvp[1,14,10];0.0
x_tvp[1,14,11];0.0
x_tvp[1,14,12];0.0
x_tvp[1,14,13];0.0
x_tvp[1,14,14];0.0
x_tvp[1,14,15];0.0
x_tvp[1,14,16];0.0
x_tvp[1,14,17];0.0
x_tvp[1,14,18];0.0
x_tvp[1,14,19];0.0
x_tvp[1,14,20];0.0
x_tvp[1,14,21];0.0
x_tvp[1,14,22];0.0
x_tvp[1,14,23];0.0
x_tvp[1,14,24];0.0
x_tvp[1,14,25];0.0
x_tvp[1,14,26];0.0
x_tvp[1,14,27];0.0
x_tvp[1,14,28];0.0
x_tvp[1,14,29];0.0
x_tvp[1,14,30];0.0
x_tvp[1,14,31];0.0
x_tvp[1,14,32];0.0
x_tvp[1,14,33];0.0
x_tvp[1,14,34];0.0
x_tvp[1,14,35];0.0
x_tvp[1,14,36];0.0
x_tvp[1,14,37];0.0
x_tvp[1,14,38];0.0
x_tvp[1,14,39];1.0
x_tvp[1,14,40];1.0
x_tvp[1,15,1];0.0
x_tvp[1,15,2];0.0
x_tvp[1,15,3];0.0
x_tvp[1,15,4];0.0
x_tvp[1,15,5];0.0
x_tvp[1,15,6];0.0
x_tvp[1,15,7];0.0
x_tvp[1,15,8];1.0
x_tvp[1,15,9];0.0
x_tvp[1,15,10];0.0
x_tvp[1,15,11];0.0
x_tvp[1,15,12];0.0
x_tvp[1,15,13];0.0
x_tvp[1,15,14];0.0
x_tvp[1,15,15];0.0
x_tvp[1,15,16];0.0
x_tvp[1,15,17];0.0
x_tvp[1,15,18];0.0
x_tvp[1,15,19];0.0
x_tvp[1,15,20];0.0
x_tvp[1,15,21];0.0
x_tvp[1,15,22];0.0
x_tvp[1,15,23];0.0
x_tvp[1,15,24];0.0
x_tvp[1,15,25];0.0
x_tvp[1,15,26];0.0
x_tvp[1,15,27];0.0
x_tvp[1,15,28];0.0
x_tvp[1,15,29];0.0
x_tvp[1,15,30];0.0
x_tvp[1,15,31];0.0
x_tvp[1,15,32];0.0
x_tvp[1,15,33];0.0
x_tvp[1,15,34];0.0
x_tvp[1,15,35];0.0
x_tvp[1,15,36];0.0
x_tvp[1,15,37];0.0
x_tvp[1,15,38];0.0
x_tvp[1,15,39];1.0
x_tvp[1,15,40];1.0
x_tvp[1,16,1];-0.0
x_tvp[1,16,2];-0.0
x_tvp[1,16,3];-0.0
x_tvp[1,16,4];-0.0
x_tvp[1,16,5];-0.0
x_tvp[1,16,6];-0.0
x_tvp[1,16,7];-0.0
